councillor_a,councillor_b,shared_votes,agreement_rate
David Hill,Matthew Luloff,201,0.821
Catherine Kitts,Mark Sutcliffe,214,0.822
Ariel Troster,Jeff Leiper,250,0.824
Ariel Troster,Sean Devine,221,0.824
Allan Hubley,Wilson Lo,194,0.825
George Darouze,Tim Tierney,120,0.825
David Brown,David Hill,211,0.825
Cathy Curry,David Hill,201,0.826
David Brown,Wilson Lo,219,0.826
Catherine Kitts,Matthew Luloff,238,0.828
Cathy Curry,Glen Gower,263,0.829
Steve Desroches,Wilson Lo,211,0.829
Glen Gower,Marty Carr,212,0.83
Matthew Luloff,Tim Tierney,237,0.831
David Hill,Laura Dudas,191,0.832
Ariel Troster,Rawlson King,215,0.833
Steve Desroches,Tim Tierney,200,0.835
Allan Hubley,Catherine Kitts,188,0.835
David Brown,Tim Tierney,214,0.836
Catherine Kitts,Cathy Curry,241,0.838
Clarke Kelly,Mark Sutcliffe,191,0.838
Catherine Kitts,Steve Desroches,198,0.838
Laura Dudas,Mark Sutcliffe,218,0.839
Glen Gower,Mark Sutcliffe,228,0.842
Cathy Curry,Tim Tierney,248,0.843
Ariel Troster,Jessica Bradley,220,0.845
Allan Hubley,Mark Sutcliffe,194,0.845
Allan Hubley,Clarke Kelly,182,0.846
David Brown,Steve Desroches,196,0.847
Allan Hubley,Laura Dudas,186,0.849
Mark Sutcliffe,Steve Desroches,194,0.851
Ariel Troster,Shawn Menard,204,0.853
Allan Hubley,Isabelle Skalski,68,0.853
Isabelle Skalski,Tim Tierney,82,0.854
Laura Dudas,Steve Desroches,200,0.855
David Brown,Matthew Luloff,229,0.856
Cathy Curry,Steve Desroches,188,0.856
Allan Hubley,George Darouze,105,0.857
Laura Dudas,Matthew Luloff,232,0.858
Ariel Troster,Theresa Kavanagh,246,0.858
Catherine Kitts,Laura Dudas,250,0.86
Clarke Kelly,David Brown,212,0.863
Cathy Curry,Isabelle Skalski,73,0.863
Isabelle Skalski,Matthew Luloff,82,0.866
Allan Hubley,David Hill,188,0.867
Isabelle Skalski,Laura Dudas,76,0.868
Allan Hubley,Matthew Luloff,191,0.869
Allan Hubley,Steve Desroches,183,0.869
David Brown,George Darouze,116,0.871
Laura Dudas,Tim Tierney,244,0.873
David Hill,George Darouze,110,0.873
David Hill,Steve Desroches,190,0.874
George Darouze,Matthew Luloff,128,0.875
Allan Hubley,Cathy Curry,190,0.879
Jessica Bradley,Shawn Menard,200,0.88
Allan Hubley,Tim Tierney,185,0.881
Mark Sutcliffe,Tim Tierney,211,0.882
Cathy Curry,Laura Dudas,238,0.882
Cathy Curry,Mark Sutcliffe,219,0.89
Clarke Kelly,Isabelle Skalski,72,0.903
Allan Hubley,David Brown,195,0.908
Isabelle Skalski,Mark Sutcliffe,70,0.914
David Brown,Isabelle Skalski,77,0.948
