ctid,tract_name,requests,median_days_to_close,equity_score,stratum,nei_name
5050059.00,0059.00,217,160.0,74.3,Urban,Rockcliffe-Manor Park
5050140.05,0140.05,212,249.5,74.5,Suburban,Old Barrhaven West-Houlahan Park-Moloughney Park
5050046.00,0046.00,541,208.0,74.8,Urban,Mechanicsville
5050160.05,0160.05,163,204.0,74.9,Suburban,Katimavik-Hazeldean-McCurdy
5050170.09,0170.09,196,138.0,75.0,Suburban,Fallingbrook-Charlemagne
5050130.01,0130.01,748,211.5,75.0,Urban,Merivale Gardens-Pineglen
5050052.00,0052.00,329,191.0,75.1,Urban,Sandy Hill-Riverfront-Cummings Bridge
5050137.04,0137.04,107,94.0,75.2,Urban,Briargreen Park
5050151.04,0151.04,448,177.5,75.3,Suburban,Stittsville-Crossing Bridge
5050137.05,0137.05,413,203.0,75.5,Urban,Centrepointe
5050040.00,0040.00,412,297.0,75.5,Urban,Centretown-Lyon St-Maclaren St
5050171.07,0171.07,199,208.0,75.5,Suburban,Nottinggate North
5050009.00,0009.00,353,246.0,75.6,Urban,Elmvale
5050125.08,0125.08,321,257.0,75.7,Suburban,Orleans Village-Chateauneuf South
5050125.05,0125.05,432,222.5,75.9,Suburban,Orleans Village-Chateauneuf North
5050140.06,0140.06,112,164.5,75.9,Suburban,Old Barrhaven West-Fallowfield Rd
5050170.12,0170.12,181,151.0,76.1,Suburban,Fallingbrook-Pineridge
5050126.06,0126.06,326,141.0,76.3,Suburban,Riverside South-Spratt Rd-Earl Armstrong Rd
5050002.01,0002.01,312,169.0,76.7,Urban,Riverside Park South
5050141.04,0141.04,147,193.0,77.2,Suburban,Barrhaven-Stonebridge
5050139.00,0139.00,327,134.0,77.5,Urban,Crystal Bay-Lakeview Park
5050140.03,0140.03,158,147.0,77.6,Suburban,Old Barrhaven East-Fallowfield Rd
5050170.13,0170.13,199,154.0,77.6,Suburban,Fallingbrook-Gardenway East
5050170.05,0170.05,185,154.0,77.6,Suburban,Queenswood Heights South
5050007.03,0007.03,222,205.5,77.6,Urban,Guildwood Estates
5050160.07,0160.07,412,205.0,77.8,Suburban,Kanata Lakes
5050161.05,0161.05,308,138.0,78.0,Suburban,Emerald Meadows-Bridgestone Dr
5050126.05,0126.05,450,169.0,78.3,Suburban,Riverside South
5050058.00,0058.00,244,193.5,78.6,Urban,New Edinburg-Rideau Hall
5050124.04,0124.04,244,276.5,78.6,Suburban,Jeanne d'Arc Park-Terry Fox Park
