vendor,contracts,actions,total_amount,noncompetitive_amount,share_of_total,cumulative_share,noncompetitive_share
WAJAX LIMITED,6,7,10720726.98,10663045.75,0.0018,0.73129,0.9946
AECON CONSTRUCTION ONTARIO EAST LTD,3,3,10715250.0,0.0,0.00179,0.73308,0.0
EGIS CANADA LTD,38,41,10685555.64,0.0,0.00179,0.73487,0.0
CAMIONS CARL THIBAULT INC,2,2,10584017.6,10584017.6,0.00177,0.73664,1.0
COMPUTRONIX CANADA LTD,2,4,10547450.66,0.0,0.00177,0.73841,0.0
IN DEPTH CONTRACTING,19,25,10391819.93,0.0,0.00174,0.74015,0.0
"D&L CONTRACTING AND EQUIPMENT,GERRY CREPIN CARTAGE LTD,KCE CONSTRUCTION LTD,LAPOINTE DRAINAGE LTD,LOUIS W BRAY CONSTRUCTION LTD,MALWOOD (9135545 CANADA INC),OSGOODE",1,1,10257024.27,0.0,0.00172,0.74187,0.0
CANADIAN CORPS OF COMMISSIONAIRES,1,1,10018616.81,0.0,0.00168,0.74355,0.0
"HICKS MORLEY HAMILTON STEWART STORI,PERLEY ROBERTSON,CAZA SAIKALEY SRL/LLP,GOWLING WLG (CANADA) LLP,EMOND HARNDEN LLP,BORDEN LADNER GERVAIS LLP",1,1,10000000.0,0.0,0.00168,0.74523,0.0
NOVA NETWORKS,5,7,9826992.31,0.0,0.00165,0.74688,0.0
SERVICE DE PNEUS LAVOIE,3,5,9733225.0,161970.0,0.00163,0.74851,0.0166
GLOBAL CATHODIC PROTECTION INC.,4,4,9704960.05,0.0,0.00163,0.75014,0.0
ENNIS PAINT CANADA ULC,4,4,9698330.48,2498330.48,0.00162,0.75176,0.2576
PENINSULA CONSTRUCTION INC,4,4,9409984.6,0.0,0.00158,0.75334,0.0
TELUS,3,3,9396730.0,9142600.0,0.00157,0.75491,0.973
BELL CANADA,29,36,9278222.61,4226659.79,0.00155,0.75646,0.4555
"COMFORT KEEPERS,ALTERNACARE INC,GEM HEALTH CARE,PARAMED HOME HEALTH,SECOND FAMILY CARE,VHA HOME HEALTHCARE",1,1,9208333.0,0.0,0.00154,0.758,0.0
DELOITTE INC,6,9,9000075.46,64000.0,0.00151,0.75951,0.0071
"HERTZ/ SURGENOR NATIONAL LEASING,UNITED RENTALS OF CANADA",1,1,9000000.0,0.0,0.00151,0.76102,0.0
R V ANDERSON ASSOCIATES LTD,23,38,8979040.74,0.0,0.0015,0.76252,0.0
MSA SAFETY SALES LLC,2,4,8876191.24,8381191.24,0.00149,0.76401,0.9442
OTTAWA FASTENER SUPPLY LTD,3,5,8810107.21,0.0,0.00148,0.76549,0.0
ALLIANCE ENGINEERING & CONSTRUCTION,3,6,8772932.62,0.0,0.00147,0.76696,0.0
"TRAFFIPAX, LLC",2,2,8718272.12,0.0,0.00146,0.76842,0.0
MNP LLP,41,49,8677675.7,0.0,0.00145,0.76987,0.0
TOROMONT INDUSTRIES,15,19,8617522.4,2829718.69,0.00144,0.77131,0.3284
ATLAS DEWATERING CORPORATION,6,6,8503646.11,174729.8,0.00142,0.77273,0.0205
ANF CONSTRUCTION,22,31,8328977.15,0.0,0.0014,0.77413,0.0
ORIN CONTRACTORS CORP,1,1,8327000.0,0.0,0.00139,0.77552,0.0
"PRESTON HARDWARE LIMITED,OTTAWA FASTENER SUPPLY LTD",1,1,8240173.67,0.0,0.00138,0.7769,0.0
CLEAN WATER WORKS INC,11,14,8230916.02,0.0,0.00138,0.77828,0.0
W H MACSWEYN INC,10,10,8226673.9,43296.0,0.00138,0.77966,0.0053
EXEL CONTRACTING INC,31,32,8113248.29,0.0,0.00136,0.78102,0.0
BRADFORD CONSTRUCTION LIMITED,4,8,8096642.3,0.0,0.00136,0.78238,0.0
GIP CONSTRUCTION ONTARIO EAST LTD,1,1,8022163.6,0.0,0.00134,0.78372,0.0
