vendor,contracts,actions,total_amount,noncompetitive_amount,share_of_total,cumulative_share,noncompetitive_share
COMMUNITY NAVIGATION OF EASTERN ONT,1,2,2949442.97,2949442.97,0.00049,0.88512,1.0
J P GRAVEL CONSTRUCTION INC,3,5,2940063.01,0.0,0.00049,0.88561,0.0
GREEN WORKS CONTRACTING INC,8,18,2917623.93,91021.0,0.00049,0.8861,0.0312
JUMEC CONSTRUCTION INC,1,2,2903877.0,0.0,0.00049,0.88659,0.0
ADVANCED BUSINESS INTERIORS LTD,11,11,2887191.28,2611014.75,0.00048,0.88707,0.9043
"CLEAN WATER WORKS INC,TOMLINSON ENVIRONMENTAL SERVICE LTD",1,1,2879289.92,0.0,0.00048,0.88755,0.0
JOHNSON CONTROLS LTD,9,10,2873230.9,2298711.9,0.00048,0.88803,0.8
ASSETWORKS INC,2,6,2866393.71,2866393.71,0.00048,0.88851,1.0
RSOLUTIONS CORP.,1,1,2864759.94,2864759.94,0.00048,0.88899,1.0
MEDLINE CANADA CORP,3,4,2826223.09,0.0,0.00047,0.88946,0.0
EASTERN WELDING,7,7,2824956.42,0.0,0.00047,0.88993,0.0
"REALTAX INC, TRICKEY ET AL TAX TEAM INC.",1,1,2820000.0,0.0,0.00047,0.8904,0.0
UNIVAR CANADA LTD,5,5,2787591.27,0.0,0.00047,0.89087,0.0
WAJAX POWER SYSTEM,4,4,2784652.89,0.0,0.00047,0.89134,0.0
GAL POWER SYSTEMS OTTAWA LTD,3,5,2783893.92,0.0,0.00047,0.89181,0.0
THOMAS FULLER CONSTRUCTION CO LTD,2,2,2769631.0,0.0,0.00046,0.89227,0.0
CITY OF TORONTO,4,6,2764359.94,2764359.94,0.00046,0.89273,1.0
RAYMOND GENERAL CONTRACTING,2,2,2755170.0,0.0,0.00046,0.89319,0.0
"CRETE RYAN CONSTRUCTION,JWK UTILITIES AND SITE SERVICES LTD,KURTIS ARMSTRONG CONTRACTING INC,MAURICE YELLE EXCAVATION LTD,OTTAWA REDLINE CONSTRUCTION LTD, SWABY TRUCKING(2685441 ONTARIO INC),ULTIMATE PAVEMENT WORKS,PML CONTRACTING INC",1,1,2737737.8,0.0,0.00046,0.89365,0.0
"ALLAN MCCOY CONTRACTING INC,P MUNRO GROUP INC.,JARA SERVICES (1786137 ONTARIO INC)",2,2,2721442.42,0.0,0.00046,0.89411,0.0
DIAMOND AND SCHMITT ARCHITECTS,1,1,2718288.1,0.0,0.00046,0.89457,0.0
RENOKREW (1568796 ONTARIO INC),1,1,2711312.38,0.0,0.00045,0.89502,0.0
"PRECISION DIESEL,SURGENOR TRUCK CENTRE,FRIGID RENTALS INC,WHELAN TRUCK REPAIR INC,FRANCIS CANADA TRUCK CENTRE INC,RUSH TRUCK CENTRE OF CANADA LIMITED,BENSON TIRE",1,1,2700000.0,0.0,0.00045,0.89547,0.0
A1 CARP PAVEMENT MARKING LTD.,3,3,2675805.96,0.0,0.00045,0.89592,0.0
"BURNS LANDSCAPE MAINTENANCE,GREEN WORKS CONTRACTING INC",2,2,2660418.37,0.0,0.00045,0.89637,0.0
TERAFLEX LIMITED,1,1,2650556.0,0.0,0.00044,0.89681,0.0
3V MECHANICAL,7,7,2605210.11,280572.22,0.00044,0.89725,0.1077
NOVOTECH TECHNOLOGIES CORP,1,2,2524540.9,0.0,0.00042,0.89767,0.0
THE GEAR CENTRE,1,1,2511000.0,0.0,0.00042,0.89809,0.0
GESTION DMJ ENTREPRENEUR GENERAL (6739741 CANADA INC.),2,2,2502503.0,0.0,0.00042,0.89851,0.0
"BORDEN LADNER GERVAIS LLP,CAZA SAIKALEY SRL/LLP,EMOND HARNDEN LLP,GOWLING WLG (CANADA) LLP,HICKS MORLEY HAMILTON STEWART STORI,LOW MURCHISON RADNOFF LLP.,NORTON ROSE FULBRIGHT CANADA LLP",1,1,2500000.0,0.0,0.00042,0.89893,0.0
ADVANCED UTILITY SYSTEMS,2,3,2488090.73,0.0,0.00042,0.89935,0.0
GFL ENVIRONMENTAL INC.,1,1,2478880.74,0.0,0.00042,0.89977,0.0
SHELTEC MANUFACTURING INC.,2,3,2464959.15,0.0,0.00041,0.90018,0.0
"EXP SERVICES INC,PATERSON GROUP INC",1,1,2448780.0,0.0,0.00041,0.90059,0.0
"COOPER HILL LANDSCAPING INC,DANWILL CONTRACTING,GC CONSTRUCTION,GREEN WORKS CONTRACTING INC,J W BASTIAN CONTRACTING INC,JAKE'S LAWN CARE,P MUNRO GROUP INC.,SQM JANITORIAL SERVICES INC",1,1,2431597.61,0.0,0.00041,0.901,0.0
TRAPEZE SOFTWARE ULC,2,7,2392058.76,2392058.76,0.0004,0.9014,1.0
ACCENTURE INC,3,3,2378527.5,49427.5,0.0004,0.9018,0.0208
PARACEL LABORATORIES LTD,2,2,2374758.7,0.0,0.0004,0.9022,0.0
ROYAL CROWN CONSTRUCTION (2339366 ONTARIO INC. O/A),2,2,2341667.6,0.0,0.00039,0.90259,0.0
ROADLAST ASPHALT,3,3,2314876.95,0.0,0.00039,0.90298,0.0
MARQUISE HOSPITALITY,2,2,2310509.0,0.0,0.00039,0.90337,0.0
INTERPROVINCIAL CORROSION CONTROL,1,1,2306280.0,0.0,0.00039,0.90376,0.0
KARCHER MUNICIPAL NORTH AMERICA INC,1,6,2305368.17,0.0,0.00039,0.90415,0.0
QUINN LANDSCAPING,2,2,2272353.24,0.0,0.00038,0.90453,0.0
"WARNOCK EQUIPMENT SERVICES LTD,T G CARROLL CARTAGE LTD,ROBERT GOURLAY CARTAGE,MIKE MORRIS EQUIPMENT RENTALS INC,MCWILLIAMS CONSTRUCTION LIMITED,JOSH LASALLE CONSTRUCTION,GOLDIE MOHR LTD,GERRY CREPIN CARTAGE LTD,D&L CONTRACTING AND EQUIPMENT,CARP RD CONTRACTING, NJI MASONRY & HEAVY EQUIPMENT (2720583 ONTARIO INC), BRIAN C MILLER EQUIPMENT RENTALS (1763076 CANADA INC), TER MOR ENTERPRISES (1470581 ONTARIO INC), J W BASTIAN CONTRACTING INC,AURELE LACROIX EQUIPMENT RENTALS LT",1,1,2270339.0,0.0,0.00038,0.90491,0.0
TJ CLARKE UTILITIES,18,19,2256878.84,0.0,0.00038,0.90529,0.0
JP2G CONSULTANTS,8,10,2249635.52,0.0,0.00038,0.90567,0.0
EXP SERVICES INC,30,31,2246886.27,40800.0,0.00038,0.90605,0.0182
LES PARISIEN CONSTRUCTION LTD,6,7,2239016.13,25956.0,0.00038,0.90643,0.0116
"WHELAN TRUCK REPAIR INC,CITY VIEW BUS SALES & SERVICE LTD.,RUSH TRUCK CENTRE OF CANADA LIMITED,BENSON TIRE,FRANCIS CANADA TRUCK CENTRE INC",1,3,2224559.68,0.0,0.00037,0.9068,0.0
SIMLUC CONTRACTORS LTD,6,7,2224551.59,0.0,0.00037,0.90717,0.0
VIP INSPECTION AND OPERATION,2,2,2186348.55,0.0,0.00037,0.90754,0.0
STRADA CONSTRUCTION GROUP INC.,9,10,2164358.53,0.0,0.00036,0.9079,0.0
"TREE COMPASS INC,VS LANDSCAPE GROUP,QUINN LANDSCAPING,JAKE'S LAWN CARE,O/A FISHER TREE SERVICES",1,1,2157210.0,0.0,0.00036,0.90826,0.0
MICROSOFT CANADA INC,1,2,2154615.37,2154615.37,0.00036,0.90862,1.0
BRINKS CANADA LTD,3,6,2149825.25,0.0,0.00036,0.90898,0.0
ROGERS BUSINESS SOLUTIONS,4,7,2136391.39,2136391.39,0.00036,0.90934,1.0
JACOBS ASSOCIATES CANADA,1,1,2120955.1,0.0,0.00036,0.9097,0.0
EVOQUA WATER TECHNOLOGIES LTD,2,3,2113931.0,92281.0,0.00035,0.91005,0.0437
"SOBANA WELDING,NUTTALL WELDING AND FABRICATION",1,1,2100000.0,0.0,0.00035,0.9104,0.0
"CAMPBELL FORD SALES LTD,CAPITAL DODGE CHRYSLER LTD,DONNELLY FLEET AND,OGILVIE MOTORS LTD,RUSH TRUCK CENTRE OF CANADA LIMITED,SOUTHBANK DODGE CHRYSLER LTD,STAR MOTORS OF OTTAWA,SURGENOR HYUNDAI,SURGENOR BARRHAVEN,SURGENOR CHEVROLET BUICK GMC & CADILLAC OTTAWA",1,1,2100000.0,0.0,0.00035,0.91075,0.0
BUILDING AND MAINTENANCE INC,5,6,2090456.56,0.0,0.00035,0.9111,0.0
FANFIT GAMING INC,2,4,2086040.47,0.0,0.00035,0.91145,0.0
"HART LAUNDRY SERVICES INC,HLS LINEN SERVICES",1,2,2083791.2,0.0,0.00035,0.9118,0.0
"AQUA DRAIN SEWER SERVICES INC,CLEAN WATER WORKS INC,HYDROCAM,NORRIS CONSTRUCTION MANAGEMENT INC",1,1,2078640.0,0.0,0.00035,0.91215,0.0
PRESTIGE DESIGN AND,6,7,2063409.03,0.0,0.00035,0.9125,0.0
ALSTOM TRANSPORT CANADA INC,2,2,2061056.0,2061056.0,0.00035,0.91285,1.0
N45 ARCHITECTURE INC,17,19,2044393.59,0.0,0.00034,0.91319,0.0
MOPRI CONSTRUCTION INC,6,7,2042376.4,0.0,0.00034,0.91353,0.0
CINTAS CANADA LTD #G77,3,3,2037977.47,0.0,0.00034,0.91387,0.0
"DANWILL CONTRACTING,BURNS LANDSCAPE MAINTENANCE",1,1,2022643.0,0.0,0.00034,0.91421,0.0
"QUINN LANDSCAPING,TIMBER RIDGE CONTRACTING LTD, JB FOREST PRODUCTS LTD",1,1,2015292.06,0.0,0.00034,0.91455,0.0
SIGNS CA (1230372 ONTARIO INC),3,3,1996842.0,1969056.0,0.00033,0.91488,0.9861
GDG CANADA INC,2,2,1963013.1,0.0,0.00033,0.91521,0.0
KONE INC,1,5,1938868.43,0.0,0.00032,0.91553,0.0
WEBBER INFRA MANAGEMENT,1,1,1933027.45,0.0,0.00032,0.91585,0.0
TOTAL POWER LIMITED,2,2,1929400.0,1554400.0,0.00032,0.91617,0.8056
GIP CONSTRUCTION ONTARIO EAST LTD (,2,2,1926910.0,0.0,0.00032,0.91649,0.0
EMA CANADA INC,2,2,1911764.35,0.0,0.00032,0.91681,0.0
BATTERIES DIXON INC,2,2,1905414.79,0.0,0.00032,0.91713,0.0
"O/A HUGHSON FENCING AND GUIDERAIL (535276 ONTARIO INC), TAMAX (1995653 ONTARIO INC), JARA SERVICES (1786137 ONTARIO INC),CTM SWEEPING CO,BERNWOOD & K.JOLY CONTRACTING INC.,P MUNRO GROUP INC.,TRUELOCK INTERLOCK,LALONDE EQUIPMENT RENTAL (12872358 CANADA INC),GUTTERS TO GLORY SWEEPING CORP",1,1,1880535.02,0.0,0.00031,0.91744,0.0
GEMTEC CONSULTING ENGINEERS,20,21,1875643.22,0.0,0.00031,0.91775,0.0
ZENITH SOLUTIONS INC,2,2,1873579.59,0.0,0.00031,0.91806,0.0
"QUINN LANDSCAPING,TIMBER RIDGE CONTRACTING LTD,J B FOREST PRODUCTS LTD,TOMLINSON ENVIRONMENTAL SERVICE LTD",2,2,1863287.34,0.0,0.00031,0.91837,0.0
SPECTRALITE,1,1,1851413.17,0.0,0.00031,0.91868,0.0
REL CONTROLS INC,6,7,1832618.8,519504.0,0.00031,0.91899,0.2835
"M&L SUPPLY, FIRE & SAFETY (3635112 CANADA INC)",2,2,1830506.76,189000.0,0.00031,0.9193,0.1033
BRENNING CONSTRUCTION LTD,4,5,1825323.77,0.0,0.00031,0.91961,0.0
"CONTINENTAL CARBON GROUP INC,BENSON GROUP INC,CAMFIL CANADA INC",1,1,1825260.0,0.0,0.00031,0.91992,0.0
KARSCO DISTRIBUTION INC,1,1,1820420.0,0.0,0.0003,0.92022,0.0
EXER?TECH INC.,2,2,1809000.25,0.0,0.0003,0.92052,0.0
"AUTOTOUCH SOLUTIONS LTD, ASTRA MOTORS INC, SAL AUTO TRUCK CENTRE LTD, CAMPBELL FORD SALES LTD, DONNELLY COLLISION CENTRE",1,1,1800000.0,0.0,0.0003,0.92082,0.0
"CIELO PRINT INC,GILMORE REPRODUCTIONS,LOWE MARTIN COMPANY INC,MOORE CANADA CORP,NEWPRINT,OPTIMA IMAGING,SINIX PRINTING CANADA,THE PRINTING HOUSE LTD,TRICO PACKAGING & PRINT SOLUTIONS INC",1,1,1800000.0,0.0,0.0003,0.92112,0.0
"JOHNSONS ENVIROPROD INC,GREEN WORKS CONTRACTING INC,DW BUILDING RESTORATION SERVICES IN",1,1,1800000.0,0.0,0.0003,0.92142,0.0
CUMMINS CANADA ULC,7,7,1777672.13,74116.94,0.0003,0.92172,0.0417
TERANET ENTERPRISES INC,2,3,1766876.84,1766876.84,0.0003,0.92202,1.0
ITRON CANADA INC,1,1,1755164.09,0.0,0.00029,0.92231,0.0
OMEGA LIQUID WASTE,1,1,1747500.0,0.0,0.00029,0.9226,0.0
CSL GROUP LTD,9,9,1741795.41,0.0,0.00029,0.92289,0.0
ADOBE SYSTEMS CANADA,1,1,1709377.11,0.0,0.00029,0.92318,0.0
XYLEM CANADA COMPANY,14,16,1708504.58,1618208.98,0.00029,0.92347,0.9471
CAPARELLI INC,2,2,1689110.5,0.0,0.00028,0.92375,0.0
GFL ENVIRONMENTAL INC,3,3,1669440.0,1456640.0,0.00028,0.92403,0.8725
SILOAM QUALITY CLEANING SERVICES,3,3,1667721.49,0.0,0.00028,0.92431,0.0
"O/A RICHMOND BMR (1239272 ONTARIO INC), OTTAWA INTERLOCK (7688342 CANADA INC.),HOME DEPOT",1,1,1656156.97,0.0,0.00028,0.92459,0.0
"ASPLUNDH CANADA INC,DAVEY TREE EXPERT CO OF CANADA LTD,WRIGHT TREE SERVICE",1,1,1650266.5,0.0,0.00028,0.92487,0.0
"FERROVIAL SERVICES CANADA LTD,BEACON LITE (OTTAWA) LTD",1,1,1650000.0,0.0,0.00028,0.92515,0.0
MTE PARALEGAL PROFESSIONAL CORPORAT,5,5,1638185.5,0.0,0.00027,0.92542,0.0
ARCADIS PROFESSIONAL SERVICES,14,16,1631451.41,0.0,0.00027,0.92569,0.0
FRECON CONSTRUCTION LTD,1,2,1622750.7,0.0,0.00027,0.92596,0.0
TRANSIT PROFESSIONALS ON DEMAND INC,1,2,1611370.84,0.0,0.00027,0.92623,0.0
"LABOR TEK PERSONNEL,HANDYMAN PERSONNEL,1799795 ONTARIO LTD",1,1,1603423.82,0.0,0.00027,0.9265,0.0
THUNDERBOLT CONTRACTING LTD,7,8,1585277.62,0.0,0.00027,0.92677,0.0
DURON SERVICES LTD,1,1,1583835.0,0.0,0.00027,0.92704,0.0
TLC EXTERIORS (10504408 CANADA INC),8,8,1583612.26,0.0,0.00027,0.92731,0.0
RENOVCO OTTAWA INC,1,2,1574500.0,0.0,0.00026,0.92757,0.0
ANGUS CONSULTING MANAGEMENT LIMITED,1,1,1573307.32,0.0,0.00026,0.92783,0.0
ENGO EQUIPMENT SALES INC,4,5,1571080.0,1571080.0,0.00026,0.92809,1.0
NATIONAL CAPITAL CONTRACTING INC,4,6,1561405.86,0.0,0.00026,0.92835,0.0
"ECOVERSE, LLC",2,2,1548677.85,1548677.85,0.00026,0.92861,1.0
PPG ARCHITECTURAL COATINGS,5,7,1545333.48,0.0,0.00026,0.92887,0.0
TECTRA GROUP INC,1,1,1543699.0,0.0,0.00026,0.92913,0.0
JIM KEAY,11,11,1538610.55,1101020.85,0.00026,0.92939,0.7156
TELUS COMMUNICATIONS COMPANY,15,15,1536013.55,0.0,0.00026,0.92965,0.0
"AMJ CAMPBELL VAN LINES,DBA OFFICE MOVEPRO OTTAWA,OTTAWA MOVING LOGISTICS,ROYAL MOVING & STORAGE OTTAWA INC,NATTIQ INC,C C ENTERPRISE",1,1,1530000.0,0.0,0.00026,0.92991,0.0
"THE DOOR COMPANY,PIVOTECH DOORS INC",1,1,1520795.0,0.0,0.00025,0.93016,0.0
ERNST & YOUNG LLP,8,12,1514166.88,839946.0,0.00025,0.93041,0.5547
"PENDULUM GROUP (14835620 CANADA INC),UNIVERSITY PAINTERS,PRISTINE MAINTENANCE + DESIGN,BRAMPTON PAINTING CO. LTD",1,1,1510575.0,0.0,0.00025,0.93066,0.0
PATERSON GROUP INC,13,13,1500370.32,0.0,0.00025,0.93091,0.0
"CAPITAL DODGE CHRYSLER LTD,CITY VIEW BUS SALES & SERVICE LTD.,DONNELLY FLEET AND,EASTWAY COLLISION,ED'S TRUCK SERVICE,JIM KEAY,K&S KELLY TIRE SERVICE INC,KENWORTH ONTARIO,MYERS CHEV OLDS CADILLAC INC.,NEW FLYER INDUSTRIES,RUSH TRUCK CENTRE OF CANADA LIMITED,SURGENOR CHEVROLET BUICK GMC & CADILLAC OTTAWA,SURGENOR TRUCK CENTRE",1,1,1500000.0,0.0,0.00025,0.93116,0.0
AON REED STENHOUSE INC,1,1,1500000.0,0.0,0.00025,0.93141,0.0
"TAMAX(1995653 ONTARIO INC),AL'S FENCING INC,B G GORHAM CONSTRUCTION,CTM SWEEPING CO,JAKE'S LAWN CARE,MAURICE DESCHAMBAULT,PML CONTRACTING INC,PRODIGY PROPERTY MAINTENANCE INC,WARNOCK EQUIPMENT SERVICES LTD",1,1,1494594.33,0.0,0.00025,0.93166,0.0
DARCH FIRE,3,4,1481885.07,1481885.07,0.00025,0.93191,1.0
RIDEAU VALLEY,4,4,1465493.0,1465493.0,0.00025,0.93216,1.0
ROBERTSON MARTIN ARCHITECTS,3,5,1464747.8,36611.45,0.00025,0.93241,0.025
GUTERMANN INC.,1,1,1456000.0,0.0,0.00024,0.93265,0.0
CARLETON ELECTRIC LTD,6,6,1452377.0,0.0,0.00024,0.93289,0.0
NEXGEN MUNICIPAL,2,2,1443498.24,460822.34,0.00024,0.93313,0.3192
DAVEY TREE EXPERT CO OF,1,1,1442835.91,0.0,0.00024,0.93337,0.0
AMAZING CONSTRUCTION LTD,4,4,1428553.6,0.0,0.00024,0.93361,0.0
ATWILL MORIN ONTARIO INC,3,4,1423895.49,0.0,0.00024,0.93385,0.0
CLEVER DEVICES LTD,1,1,1423592.8,1423592.8,0.00024,0.93409,1.0
"DANWILL CONTRACTING,P MUNRO GROUP INC.,ZAGROS PROPERTY MANAGEMENT INC",1,1,1413843.88,0.0,0.00024,0.93433,0.0
M DAVIS LANDSCAPE AND DESIGN INC,3,4,1410217.9,0.0,0.00024,0.93457,0.0
STATION AUTOMATION INC,1,2,1410202.8,1410202.8,0.00024,0.93481,1.0
"CONCORDIA PAVING (2013) LTD,B G GORHAM CONSTRUCTION,P MUNRO GROUP INC.,MAVEN PM",1,1,1407409.58,0.0,0.00024,0.93505,0.0
"CONCORDIA PAVING (2013) LTD,OTTAWA REDLINE CONSTRUCTION LTD,TERAFLEX LIMITED,LAURENT LEBLANC LIMITED",1,1,1389855.0,0.0,0.00023,0.93528,0.0
TRIANGLE PUMP SERVICE LTD,2,3,1389234.85,0.0,0.00023,0.93551,0.0
D&L CONTRACTING AND EQUIPMENT,1,2,1386531.16,0.0,0.00023,0.93574,0.0
AINSWORTH INC,7,7,1376851.18,1376851.18,0.00023,0.93597,1.0
O/A WRC CONTRACTING (11799746 CANADA INCORPORATED),1,1,1365458.95,0.0,0.00023,0.9362,0.0
ND MANAGEMENT,1,1,1358137.56,1358137.56,0.00023,0.93643,1.0
ANDREWS INFRASTRUCTURE,1,2,1351990.0,0.0,0.00023,0.93666,0.0
ENHANCED FACILITY SERVICES CLEANING INC (9753567 CANADA LIMITED),2,2,1351533.5,0.0,0.00023,0.93689,0.0
D PIERSON VIBRATION ANALYSIS INC (1203135 ONTARIO INC O/A),1,1,1344360.0,0.0,0.00023,0.93712,0.0
FEDERAL ENGINEERING INC,3,4,1338856.22,0.0,0.00022,0.93734,0.0
"GREEN WORKS CONTRACTING INC,P MUNRO GROUP INC.",3,3,1334839.75,0.0,0.00022,0.93756,0.0
"ALLAN MCCOY CONTRACTING INC,A & G THE ROAD CLEANERS LTD",1,1,1332950.0,0.0,0.00022,0.93778,0.0
TOMLINSON ENVIRONMENTAL SERVICES,2,2,1330868.24,0.0,0.00022,0.938,0.0
TRACTION OTTAWA,1,1,1327200.0,0.0,0.00022,0.93822,0.0
CLEAN WATER WORKS,1,1,1326000.0,0.0,0.00022,0.93844,0.0
"MOUNTAINVIEW TURF FARM LTD,RITCHIE FEED AND SEED LTD",1,1,1316961.5,0.0,0.00022,0.93866,0.0
"B G GORHAM CONSTRUCTION,P MUNRO GROUP INC.,CONCORDIA PAVING (2013) LTD,MAVEN PM",2,3,1305760.0,0.0,0.00022,0.93888,0.0
"BEVA GLOBAL, EXPERIENCE ADVISORS, RETIREMENT PLANNING INSTITUTE, STRATFORD GROUP",1,1,1305000.0,1305000.0,0.00022,0.9391,1.0
RICARDO CANADA INC.,3,7,1303550.0,172750.0,0.00022,0.93932,0.1325
VS LANDSCAPE GROUP,8,10,1295482.23,0.0,0.00022,0.93954,0.0
PARSONS INC.,1,1,1287547.6,0.0,0.00022,0.93976,0.0
SEGA ELECTRIC INC,4,4,1285902.3,0.0,0.00022,0.93998,0.0
MARVAL NORTH AMERICA,2,3,1269199.67,0.0,0.00021,0.94019,0.0
FSET INC,2,2,1267415.96,1267415.96,0.00021,0.9404,1.0
"NOBLE CORPORATION,EMCO CORPORATION",1,1,1266847.59,0.0,0.00021,0.94061,0.0
BAKER TRANSIT PARTS INC,5,5,1262225.12,0.0,0.00021,0.94082,0.0
F. TROTTIER CONSTRUCTION LTD.,2,2,1253537.0,0.0,0.00021,0.94103,0.0
ASL AGRODRAIN LIMITED,3,4,1233447.2,0.0,0.00021,0.94124,0.0
"GREEN WORKS CONTRACTING INC,CITY PAVING & INTERLOCK INC,VS LANDSCAPE GROUP",1,2,1223787.54,0.0,0.0002,0.94144,0.0
"CRETE RYAN CONSTRUCTION, TAMAX(1995653 ONTARIO INC),AL'S FENCING INC,B G GORHAM CONSTRUCTION,CTM SWEEPING CO,JAKE'S LAWN CARE,MAURICE DESCHAMBAULT,PML CONTRACTING INC,PRODIGY PROPERTY MAINTENANCE INC,WARNOCK EQUIPMENT SERVICES LTD",1,1,1221376.05,0.0,0.0002,0.94164,0.0
ART WOODS OFFICE SUPPLIES LTD,1,1,1218176.89,0.0,0.0002,0.94184,0.0
DOULOS CONSTRUCTION LTD,17,18,1217765.33,0.0,0.0002,0.94204,0.0
CULTURAL INTERPRETATION SERVICES,1,1,1216350.73,0.0,0.0002,0.94224,0.0
SUPPORT SOHO INC,4,6,1211310.0,0.0,0.0002,0.94244,0.0
FERNO CANADA,2,2,1201865.27,1201865.27,0.0002,0.94264,1.0
"OTTAWA FASTENER SUPPLY LTD,CANADIAN LINEN AND UNIFORM SERVICE",1,1,1201675.0,0.0,0.0002,0.94284,0.0
"LOUDMOUTH SECURITY, XANTHUS SECURITY, LANCESOFT, MAGNARI INC O/A MALLEUM, IPSS",1,1,1200000.0,0.0,0.0002,0.94304,0.0
"ACCENTURE INFRASTRUCTURE & CAPITAL PROJECT INC. ACCURATE DESIGN & COMMUNICATIONS INC., BOLD LIP CREATIVE STUDIO, BRAND CLARITY STRATEGIC MARKETING AND COMMUNICATIONS, BURSON, COMPASS ROSE GROUP, EARNSCLIFFE STRATEGY GROUP, ENTERPRISE CANADA, EKOS, HUMAN CONTACT INC, HYPERACTIVE PRODUCTIONS, INITIAL MARKETING INC, KACKPINE, KEN ANDERSON & ASSOCIATES, MEDIAPLUS ADVERTISING, NEON SOLNS INC, NIVA INC. PACE PUBLIC AFFAIRS & COMMUNITY ENGAGEMENT, PARRIAGEGROUP, PUBLIVATE INC., SANBAY ENTERTAINMENT, PARK ADVOCACY, SPRUCE CREATIVE INC, STIFF, SUSSEX STRATEGY GROUP, SYTAX STRATEGIC, VIEWPOINTS RESEARCH LTD., WEUSTHEM INC.",1,1,1200000.0,0.0,0.0002,0.94324,0.0
LIFEWORKS CANADA LTD,2,2,1191854.3,1191854.3,0.0002,0.94344,1.0
PETRO-CANADA LUBRICANTS INC,2,4,1188743.42,0.0,0.0002,0.94364,0.0
KROWN RUST CONTROL,2,2,1181023.0,0.0,0.0002,0.94384,0.0
SIGNALISATION KALITEC INC,1,1,1180226.67,0.0,0.0002,0.94404,0.0
KB CIVIL CONSTRUCTORS INC,1,1,1178595.0,0.0,0.0002,0.94424,0.0
AUTO WA UPHOLSTERY,3,3,1178163.6,0.0,0.0002,0.94444,0.0
HERITAGE GRADE,7,7,1176898.04,66650.55,0.0002,0.94464,0.0566
HATCH CORPORATION,1,1,1175990.0,1175990.0,0.0002,0.94484,1.0
GINQO CONSULTING LTD,5,10,1171740.0,1131740.0,0.0002,0.94504,0.9659
FRONTDESK QUEUE,2,2,1168963.29,1168963.29,0.0002,0.94524,1.0
WAGAR & CORPUT WEED CONTROL INC.,1,3,1168233.07,0.0,0.0002,0.94544,0.0
FLYNN CANADA LTD,3,3,1166759.0,0.0,0.0002,0.94564,0.0
"WARNOCK EQUIPMENT SERVICES LTD,ROBERT GOURLAY CARTAGE,MIKE MORRIS EQUIPMENT RENTALS INC,MCWILLIAMS CONSTRUCTION LIMITED,M A THOMPSON CARTAGE LTD,JOSH LASALLE CONSTRUCTION,GOLDIE MOHR LTD,GERRY CREPIN CARTAGE LTD,D&L CONTRACTING AND EQUIPMENT,CARP RD CONTRACTING,N.J.I MASONRY & HEAVY EQUIPMENT (2720583 ONTARIO INC),BRIAN C MILLER EQUIPMENT RENTALS (1763076 CANADA INC),TER MOR ENTERPRISES (1470581 ONTARIO INC),J W BASTIAN CONTRACTING INC,AURELE LACROIX EQUIPMENT RENTALS LT",1,1,1166603.5,0.0,0.0002,0.94584,0.0
BRODER ELECTRIC LTD,3,3,1161392.8,0.0,0.00019,0.94603,0.0
FRANCIS CANADA TRUCK CENTRE INC,3,4,1156006.0,0.0,0.00019,0.94622,0.0
"P MUNRO GROUP INC.,B G GORHAM CONSTRUCTION",1,1,1155962.71,0.0,0.00019,0.94641,0.0
AQUA TECH SOLUTIONS INC,1,1,1154347.0,0.0,0.00019,0.9466,0.0
BELLAI ALLIANCE CIVIL INC,2,2,1142161.1,0.0,0.00019,0.94679,0.0
PROENG CONSULTING INC,16,20,1139591.86,0.0,0.00019,0.94698,0.0
DECISIVE GROUP INC,2,6,1133993.9,0.0,0.00019,0.94717,0.0
CORE CIVIL CONSTRUCTION INC,2,2,1133880.0,0.0,0.00019,0.94736,0.0
MEDICALMART SUPPLIES LTD,1,1,1125000.0,0.0,0.00019,0.94755,0.0
ENVIROCENTRE,12,13,1122301.54,801036.93,0.00019,0.94774,0.7137
A ROHLING CONSTRUCTION SERVICES INC,19,19,1121299.42,0.0,0.00019,0.94793,0.0
NPLAN LIMITED,1,3,1119046.73,1119046.73,0.00019,0.94812,1.0
MORIN INSULATION AND ROOFING LTD,2,2,1104660.0,0.0,0.00019,0.94831,0.0
"NEDCO DIV OF REXEL CANADA ELECTRICA,WESCO DISTRIBUTION CANADA INC,MARCHAND ELECTRICAL COMPANY LTD,FRANKLIN EMPIRE INC",1,1,1102455.55,0.0,0.00018,0.94849,0.0
KOMUTEL INC.,2,3,1097548.31,1097548.31,0.00018,0.94867,1.0
DAALO PROPERTY MAINTENANCE,3,5,1094836.32,1094836.32,0.00018,0.94885,1.0
SERGE ZIMOLA CONSTRUCTION INC,6,8,1080259.67,0.0,0.00018,0.94903,0.0
MIOVISION TECHNOLOGIES INC,3,5,1078200.0,1078200.0,0.00018,0.94921,1.0
BOUTHILLETTE PARIZEAU INC,6,6,1072985.6,786747.5,0.00018,0.94939,0.7332
POWERSCREEN OF CANADA LTD,3,3,1068218.2,0.0,0.00018,0.94957,0.0
BREZACH SOLUTIONS INCORPORATED,2,3,1064658.3,0.0,0.00018,0.94975,0.0
GIP CONSTRUCTION ONTARIO EAST LTD (GCOE),2,2,1064212.3,0.0,0.00018,0.94993,0.0
TRANSIT COOLING SOLUTIONS,1,1,1058101.0,0.0,0.00018,0.95011,0.0
